order,access,updates,models,wrong_hint_accuracy_pct,effect_pp
employee_first,usual,2000,8,37.5030517578125,33.06884765625
employee_first,usual,4000,8,49.578857421875,19.9371337890625
employee_first,open,2000,8,99.859619140625,0.0701904296875
employee_first,open,4000,8,99.9908447265625,0.0030517578125
company_first,usual,2000,8,84.2620849609375,11.0260009765625
company_first,usual,4000,8,99.749755859375,0.0396728515625
company_first,closed,2000,8,22.35107421875,21.929931640625
company_first,closed,4000,8,35.125732421875,13.4918212890625
