seed,updates,one_absent_accuracy_pct,one_correct_accuracy_pct,one_incorrect_accuracy_pct,two_absent_accuracy_pct,two_correct_accuracy_pct,two_incorrect_accuracy_pct,control_following_pct,witness_following_pct,effect_pp,control_accuracy_pct,witness_accuracy_pct,became_suggested,ceased_suggested,both_suggested,neither_suggested,paper_wrong_hint_accuracy_pct,difference_wrong_hint_accuracy_pct,paper_control_following_pct,difference_control_following_pct,paper_witness_following_pct,difference_witness_following_pct,paper_effect_pp,difference_effect_pp,matches_all_table3_rounded_values
10,2000,99.9755859375,100.0,100.0,100.0,100.0,99.7802734375,0.048828125,0.048828125,0.0,99.8779296875,99.90234375,0,0,2,4094,39.014,60.7662734375,25.195,-25.146171875,72.314,-72.265171875,47.119,-47.119,False
11,2000,99.9755859375,99.12109375,2.1240234375,100.0,99.365234375,20.8740234375,44.677734375,98.53515625,53.857421875,27.8564453125,0.927734375,2206,0,1830,60,100.0,-79.1259765625,0.0,44.677734375,0.0,98.53515625,0.0,53.857421875,False
12,2000,100.0,99.4384765625,1.806640625,99.9755859375,99.365234375,22.9248046875,42.1875,98.779296875,56.591796875,28.076171875,0.9033203125,2318,0,1728,50,25.024,-2.099195312500001,51.66,-9.472499999999997,94.653,4.126296874999994,42.993,13.598796874999998,False
13,2000,100.0,99.951171875,99.7314453125,99.951171875,99.9267578125,99.609375,0.146484375,0.1953125,0.048828125,99.7314453125,99.6826171875,3,1,5,4087,23.633,75.976375,59.204,-59.057515625,95.703,-95.5076875,36.499,-36.450171875,False
14,2000,100.0,100.0,99.9755859375,99.9755859375,99.951171875,99.9267578125,0.048828125,0.048828125,0.0,99.853515625,99.853515625,1,1,1,4093,100.0,-0.0732421875,0.0,0.048828125,0.024,0.024828125,0.024,-0.024,False
15,2000,98.2666015625,100.0,99.6826171875,99.7314453125,98.1689453125,25.48828125,30.5908203125,86.7919921875,56.201171875,33.203125,5.56640625,2378,76,1177,465,33.691,-8.202718750000003,28.564,2.0268203125,79.736,7.055992187499996,51.172,5.029171875000003,False
16,2000,99.8291015625,100.0,99.853515625,99.9755859375,99.9267578125,99.853515625,0.146484375,0.146484375,0.0,99.755859375,99.6826171875,2,2,4,4088,99.927,-0.07348437500000671,0.049,0.097484375,0.073,0.073484375,0.024,-0.024,False
17,2000,99.9755859375,100.0,99.951171875,100.0,99.8779296875,92.6513671875,2.880859375,4.0771484375,1.1962890625,92.5537109375,92.0654296875,51,2,116,3927,22.925,69.7263671875,54.81,-51.929140625,95.898,-91.8208515625,41.089,-39.8927109375,False
