seed,arm,base_updates,additional_updates,supervised_contexts_per_update,clean_no_hint_accuracy,clean_correct_hint_accuracy,iid_wrong_hint_accuracy,relevant_changed_answer_accuracy,balanced_effect,balanced_wrong_rate,cube_mean_accuracy,cube_robust_accuracy,cube_no_hint_robust_accuracy,cube_correct_hint_robust_accuracy
11,iid,2000,500,512,0.999267578125,0.998291015625,0.29931640625,0.999267578125,0.032470703125,0.647705078125,0.11767578125,0.076171875,0.99609375,0.9580078125
11,augmentation,2000,500,512,0.9931640625,0.989501953125,0.592529296875,0.9912109375,0.0224609375,0.161865234375,0.61688232421875,0.4326171875,0.9638671875,0.9375
11,consistency,2000,500,512,0.990478515625,0.972412109375,0.54248046875,0.990478515625,-0.00244140625,0.17822265625,0.53985595703125,0.4462890625,0.98046875,0.9033203125
29,iid,2000,500,512,1.0,0.995849609375,0.37451171875,1.0,0.374267578125,0.746826171875,0.09356689453125,0.060546875,0.99609375,0.947265625
29,augmentation,2000,500,512,0.998291015625,0.999755859375,1.0,0.999267578125,0.0,0.0,0.9991455078125,0.99609375,0.98828125,0.9990234375
29,consistency,2000,500,512,0.99755859375,0.999755859375,0.99951171875,0.99853515625,0.0,0.0,0.99957275390625,0.9970703125,0.962890625,0.998046875
47,iid,2000,500,512,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
47,augmentation,2000,500,512,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
47,consistency,2000,500,512,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
